sample_name,source_name,Strain,sex,age
DGRP_Line_595_Female_SAMN09738904,DGRP Line 595 Female,DGRP_595,female,3-5 days old
DGRP_Line_596_Female_SAMN09738900,DGRP Line 596 Female,DGRP_596,female,3-5 days old
DGRP_Line_596_Male_SAMN09738898,DGRP Line 596 Male,DGRP_596,male,3-5 days old
DGRP_Line_627_Female_SAMN09738896,DGRP Line 627 Female,DGRP_627,female,3-5 days old
DGRP_Line_627_Female_SAMN09738895,DGRP Line 627 Female,DGRP_627,female,3-5 days old
DGRP_Line_627_Male_SAMN09738894,DGRP Line 627 Male,DGRP_627,male,3-5 days old
DGRP_Line_630_Female_SAMN09738944,DGRP Line 630 Female,DGRP_630,female,3-5 days old
DGRP_Line_634_Female_SAMN09738939,DGRP Line 634 Female,DGRP_634,female,3-5 days old
DGRP_Line_634_Male_SAMN09738937,DGRP Line 634 Male,DGRP_634,male,3-5 days old
DGRP_Line_639_Female_SAMN09738935,DGRP Line 639 Female,DGRP_639,female,3-5 days old
DGRP_Line_639_Male_SAMN09738889,DGRP Line 639 Male,DGRP_639,male,3-5 days old
DGRP_Line_642_Female_SAMN09738888,DGRP Line 642 Female,DGRP_642,female,3-5 days old
DGRP_Line_642_Female_SAMN09738887,DGRP Line 642 Female,DGRP_642,female,3-5 days old
DGRP_Line_642_Male_SAMN09738886,DGRP Line 642 Male,DGRP_642,male,3-5 days old
DGRP_Line_69_Female_SAMN09738883,DGRP Line 69 Female,DGRP_69,female,3-5 days old
DGRP_Line_703_Male_SAMN09738877,DGRP Line 703 Male,DGRP_703,male,3-5 days old
DGRP_Line_705_Female_SAMN09738876,DGRP Line 705 Female,DGRP_705,female,3-5 days old
DGRP_Line_705_Female_SAMN09738875,DGRP Line 705 Female,DGRP_705,female,3-5 days old
DGRP_Line_705_Male_SAMN09738874,DGRP Line 705 Male,DGRP_705,male,3-5 days old
DGRP_Line_705_Male_SAMN09738873,DGRP Line 705 Male,DGRP_705,male,3-5 days old
DGRP_Line_707_Female_SAMN09738872,DGRP Line 707 Female,DGRP_707,female,3-5 days old
DGRP_Line_707_Male_SAMN09738870,DGRP Line 707 Male,DGRP_707,male,3-5 days old
DGRP_Line_707_Male_SAMN09738869,DGRP Line 707 Male,DGRP_707,male,3-5 days old
DGRP_Line_712_Female_SAMN09738868,DGRP Line 712 Female,DGRP_712,female,3-5 days old
DGRP_Line_714_Female_SAMN09738916,DGRP Line 714 Female,DGRP_714,female,3-5 days old
DGRP_Line_714_Female_SAMN09738915,DGRP Line 714 Female,DGRP_714,female,3-5 days old
DGRP_Line_714_Male_SAMN09738914,DGRP Line 714 Male,DGRP_714,male,3-5 days old
DGRP_Line_716_Female_SAMN09738933,DGRP Line 716 Female,DGRP_716,female,3-5 days old
DGRP_Line_716_Female_SAMN09738932,DGRP Line 716 Female,DGRP_716,female,3-5 days old
DGRP_Line_716_Male_SAMN09738931,DGRP Line 716 Male,DGRP_716,male,3-5 days old
DGRP_Line_716_Male_SAMN09738930,DGRP Line 716 Male,DGRP_716,male,3-5 days old
DGRP_Line_721_Female_SAMN09738924,DGRP Line 721 Female,DGRP_721,female,3-5 days old
DGRP_Line_73_Female_SAMN09738921,DGRP Line 73 Female,DGRP_73,female,3-5 days old
DGRP_Line_730_Female_SAMN09738969,DGRP Line 730 Female,DGRP_730,female,3-5 days old
DGRP_Line_730_Male_SAMN09738967,DGRP Line 730 Male,DGRP_730,male,3-5 days old
DGRP_Line_732_Male_SAMN09738963,DGRP Line 732 Male,DGRP_732,male,3-5 days old
DGRP_Line_737_Female_SAMN09738961,DGRP Line 737 Female,DGRP_737,female,3-5 days old
DGRP_Line_738_Female_SAMN09739055,DGRP Line 738 Female,DGRP_738,female,3-5 days old
DGRP_Line_738_Male_SAMN09739054,DGRP Line 738 Male,DGRP_738,male,3-5 days old
DGRP_Line_748_Female_SAMN09739052,DGRP Line 748 Female,DGRP_748,female,3-5 days old
DGRP_Line_748_Male_SAMN09739049,DGRP Line 748 Male,DGRP_748,male,3-5 days old
DGRP_Line_75_Male_SAMN09739046,DGRP Line 75 Male,DGRP_75,male,3-5 days old
DGRP_Line_75_Male_SAMN09739045,DGRP Line 75 Male,DGRP_75,male,3-5 days old
DGRP_Line_757_Female_SAMN09739044,DGRP Line 757 Female,DGRP_757,female,3-5 days old
DGRP_Line_757_Female_SAMN09739043,DGRP Line 757 Female,DGRP_757,female,3-5 days old
DGRP_Line_757_Male_SAMN09739041,DGRP Line 757 Male,DGRP_757,male,3-5 days old
DGRP_Line_761_Male_SAMN09739038,DGRP Line 761 Male,DGRP_761,male,3-5 days old
DGRP_Line_761_Male_SAMN09739037,DGRP Line 761 Male,DGRP_761,male,3-5 days old
DGRP_Line_765_Female_SAMN09739036,DGRP Line 765 Female,DGRP_765,female,3-5 days old
DGRP_Line_765_Male_SAMN09739097,DGRP Line 765 Male,DGRP_765,male,3-5 days old
DGRP_Line_774_Female_SAMN09739095,DGRP Line 774 Female,DGRP_774,female,3-5 days old
DGRP_Line_774_Male_SAMN09739092,DGRP Line 774 Male,DGRP_774,male,3-5 days old
DGRP_Line_776_Male_SAMN09739089,DGRP Line 776 Male,DGRP_776,male,3-5 days old
DGRP_Line_783_Male_SAMN09739085,DGRP Line 783 Male,DGRP_783,male,3-5 days old
DGRP_Line_786_Female_SAMN09739083,DGRP Line 786 Female,DGRP_786,female,3-5 days old
DGRP_Line_786_Male_SAMN09739080,DGRP Line 786 Male,DGRP_786,male,3-5 days old
DGRP_Line_787_Male_SAMN09739076,DGRP Line 787 Male,DGRP_787,male,3-5 days old
DGRP_Line_790_Female_SAMN09739074,DGRP Line 790 Female,DGRP_790,female,3-5 days old
DGRP_Line_790_Male_SAMN09739073,DGRP Line 790 Male,DGRP_790,male,3-5 days old
DGRP_Line_790_Male_SAMN09739072,DGRP Line 790 Male,DGRP_790,male,3-5 days old
DGRP_Line_796_Male_SAMN09739127,DGRP Line 796 Male,DGRP_796,male,3-5 days old
DGRP_Line_799_Female_SAMN09739125,DGRP Line 799 Female,DGRP_799,female,3-5 days old
DGRP_Line_801_Female_SAMN09739121,DGRP Line 801 Female,DGRP_801,female,3-5 days old
DGRP_Line_801_Male_SAMN09739119,DGRP Line 801 Male,DGRP_801,male,3-5 days old
DGRP_Line_802_Female_SAMN09739118,DGRP Line 802 Female,DGRP_802,female,3-5 days old
DGRP_Line_802_Female_SAMN09739018,DGRP Line 802 Female,DGRP_802,female,3-5 days old
DGRP_Line_802_Male_SAMN09739015,DGRP Line 802 Male,DGRP_802,male,3-5 days old
DGRP_Line_804_Female_SAMN09739014,DGRP Line 804 Female,DGRP_804,female,3-5 days old
DGRP_Line_804_Male_SAMN09739012,DGRP Line 804 Male,DGRP_804,male,3-5 days old
DGRP_Line_804_Male_SAMN09739011,DGRP Line 804 Male,DGRP_804,male,3-5 days old
DGRP_Line_805_Male_SAMN09739009,DGRP Line 805 Male,DGRP_805,male,3-5 days old
DGRP_Line_808_Female_SAMN09739006,DGRP Line 808 Female,DGRP_808,female,3-5 days old
DGRP_Line_808_Male_SAMN09739005,DGRP Line 808 Male,DGRP_808,male,3-5 days old
DGRP_Line_810_Female_SAMN09739002,DGRP Line 810 Female,DGRP_810,female,3-5 days old
DGRP_Line_812_Female_SAMN09739066,DGRP Line 812 Female,DGRP_812,female,3-5 days old
DGRP_Line_812_Female_SAMN09739065,DGRP Line 812 Female,DGRP_812,female,3-5 days old
DGRP_Line_812_Male_SAMN09739064,DGRP Line 812 Male,DGRP_812,male,3-5 days old
DGRP_Line_818_Female_SAMN09739062,DGRP Line 818 Female,DGRP_818,female,3-5 days old
DGRP_Line_820_Female_SAMN09738956,DGRP Line 820 Female,DGRP_820,female,3-5 days old
DGRP_Line_820_Female_SAMN09738955,DGRP Line 820 Female,DGRP_820,female,3-5 days old
DGRP_Line_821_Female_SAMN09738949,DGRP Line 821 Female,DGRP_821,female,3-5 days old
